DATE,TAVG,TAVG_LAG_1,TAVG_LAG_2,TAVG_LAG_3,TAVG_LAG_4,TAVG_LAG_5,TAVG_LAG_6,TAVG_LAG_7,TAVG_LAG_8,TAVG_LAG_9,TAVG_LAG_10,TAVG_LAG_11,TAVG_LAG_12
1986-10-31,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387,66.03333333333333,58.403225806451616,48.36666666666667,40.67741935483871,28.821428571428573,31.35483870967742,31.258064516129032,45.4,55.37096774193548
1986-11-30,42.25,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387,66.03333333333333,58.403225806451616,48.36666666666667,40.67741935483871,28.821428571428573,31.35483870967742,31.258064516129032,45.4
1986-12-31,35.53225806451613,42.25,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387,66.03333333333333,58.403225806451616,48.36666666666667,40.67741935483871,28.821428571428573,31.35483870967742,31.258064516129032
1987-01-31,28.903225806451612,35.53225806451613,42.25,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387,66.03333333333333,58.403225806451616,48.36666666666667,40.67741935483871,28.821428571428573,31.35483870967742
1987-02-28,29.125,28.903225806451612,35.53225806451613,42.25,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387,66.03333333333333,58.403225806451616,48.36666666666667,40.67741935483871,28.821428571428573
1987-03-31,38.45161290322581,29.125,28.903225806451612,35.53225806451613,42.25,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387,66.03333333333333,58.403225806451616,48.36666666666667,40.67741935483871
1987-04-30,45.083333333333336,38.45161290322581,29.125,28.903225806451612,35.53225806451613,42.25,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387,66.03333333333333,58.403225806451616,48.36666666666667
1987-05-31,57.145161290322584,45.083333333333336,38.45161290322581,29.125,28.903225806451612,35.53225806451613,42.25,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387,66.03333333333333,58.403225806451616
1987-06-30,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581,29.125,28.903225806451612,35.53225806451613,42.25,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387,66.03333333333333
1987-07-31,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581,29.125,28.903225806451612,35.53225806451613,42.25,53.95161290322581,63.233333333333334,70.46774193548387,70.96774193548387
1987-08-31,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581,29.125,28.903225806451612,35.53225806451613,42.25,53.95161290322581,63.233333333333334,70.46774193548387
1987-09-30,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581,29.125,28.903225806451612,35.53225806451613,42.25,53.95161290322581,63.233333333333334
1987-10-31,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581,29.125,28.903225806451612,35.53225806451613,42.25,53.95161290322581
1987-11-30,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581,29.125,28.903225806451612,35.53225806451613,42.25
1987-12-31,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581,29.125,28.903225806451612,35.53225806451613
1988-01-31,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581,29.125,28.903225806451612
1988-02-29,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581,29.125
1988-03-31,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336,38.45161290322581
1988-04-30,46.8,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584,45.083333333333336
1988-05-31,57.61290322580645,46.8,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334,57.145161290322584
1988-06-30,68.51666666666667,57.61290322580645,46.8,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258,65.13333333333334
1988-07-31,73.6774193548387,68.51666666666667,57.61290322580645,46.8,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871,71.64516129032258
1988-08-31,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645,46.8,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334,70.2741935483871
1988-09-30,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645,46.8,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903,65.38333333333334
1988-10-31,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645,46.8,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336,54.25806451612903
1988-11-30,46.65,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645,46.8,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384,43.833333333333336
1988-12-31,32.75806451612903,46.65,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645,46.8,39.16129032258065,32.12068965517241,27.774193548387096,36.096774193548384
1989-01-31,34.483870967741936,32.75806451612903,46.65,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645,46.8,39.16129032258065,32.12068965517241,27.774193548387096
1989-02-28,30.517857142857142,34.483870967741936,32.75806451612903,46.65,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645,46.8,39.16129032258065,32.12068965517241
1989-03-31,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903,46.65,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645,46.8,39.16129032258065
1989-04-30,45.916666666666664,37.24193548387097,30.517857142857142,34.483870967741936,32.75806451612903,46.65,50.806451612903224,64.58333333333333,75.46774193548387,73.6774193548387,68.51666666666667,57.61290322580645,46.8
